STATEFP,COUNTYFP,GEOID,NAME,NAMELSAD,NAME_1,Geo_NAME,TractPopulation2010,MedINC14,MedINC10,MedINC00,MedINC90,MedHOMVal14,MedHOMVal10,MedHOMVal00,MedHOMVal90,MedRNTVal14,MedRENTVal10,MedRENTVal00,MedRENTVal90,OWNshprate14,OWNshprate10,OWNshprate00,OWNshprate90,shWHITET14,shWHITE10,shWHITE00,shWHITE90,shHISP14,shHISP10,shHISP00,shHISP90,shBLCK14,shBLCK10,shBLCK00,shBLCK90,shASIAN14,shASIAN10,shASIAN00,shASIAN90,POVrate14,POVrate10,POVrate00,POVrate90,shBACH14,shBACH10,shBACH00,shBACH90,shCBRENT14,shCBRENT10,shCBRENT00,shCBRENT90,chMedINC1014,chMedINC0010,chMedINC9000,chMedINC0014,chMedINC9014,chHOMval1014,chHOMval0010,chHOMval9000,chHOMval0014,chHOMval9014,chRENTval1014,chRENTval0010,chRENTval9000,chRENTval0014,chRENTval9014,chOWNrate1014,chOWNrate0010,chOWNrate9000,chOWNrate0014,chOWNrate9014,chBACH1014,chBACH0010,chBACH9000,chBACH0014,chBACH9014,chWHITE1014,chWHITE0010,chWHITE9000,chWHITE0014,chWHITE9014,chHISP1014,chHISP0010,chHISP9000,chHISP0014,chHISP9014,chBLCK1014,chBLCK0010,chBLCK9000,chBLCK0014,chBLCK9014,chASIAN1014,chASIAN0010,chASIAN9000,chASIAN0014,chASIAN9014,chPOVrate1014,chPOVrate0010,chPOVrate9000,chPOVrate9014,chCBRENT1014,chCBRENT0010,chCBRENT9000,chCBRENT0014,chCBRENT9014
25,25,25025091300,913,Census Tract 913,Boston,Census Tract 913- Suffolk County- Massachusetts,2499,34922,33093,38593,49227,249387,482706,233654,214125,1186,1320,869,838,19,22,35,33,10,5,7,11,23,22,29,39,39,33,27,20,19,13,37,30,23.52,36.3,25.26,31.57,18.55,10.34,7.12,6.75,54,70,48,53,1829,-5500,-10634,-3671,-14305,-233319,249052,19529,15733,35262,-134,451,31,317,348,-3,-14,2,-16,-14,8.21,3.21,0.37,11.42,11.8,5,-2,-4,3,-1,2,-7,-10,-6,-15,7,6,7,12,19,6,-24,7,-18,-11,-12.79,11.04,-6.31,-8.05,-16,23,-6,7,1
25,25,25025110501,1105.01,Census Tract 1105.01,Boston,Census Tract 1105.01- Suffolk County- Massachusetts,3253,84020,98423,79245,86904,422830,426875,302142,292644,1509,1478,1249,1244,63,69,61,60,66,68,81,95,16,17,8,3,13,7,5,0,7,4,6,1,11.73,9.45,10.9,6.1,51.4,50.66,39.78,37.6,33,38,29,37,-14403,19178,-7659,4775,-2884,-4045,124733,9498,120688,130186,31,229,5,260,265,-6,8,1,2,2,0.74,10.88,2.18,11.63,13.8,-2,-13,-14,-15,-29,-1,9,5,8,13,6,2,4,8,12,3,-2,4,1,6,2.28,-1.45,4.8,5.62,-4,9,-8,5,-3
25,25,25025030500,305,Census Tract 305,Boston,Census Tract 305- Suffolk County- Massachusetts,2538,103250,89403,90238,63071,691635,646069,510767,878285,1902,1822,1580,1231,41,41,40,33,91,93,93,96,1,5,2,3,0,0,0,0,0,1,4,1,8.19,8.64,5.23,11.46,85.6,78.88,64.26,36.83,47,38,39,41,13847,-835,27167,13012,40179,45566,135302,-367518,180868,-186650,80,242,349,322,671,-1,1,7,1,8,6.72,14.61,27.44,21.34,48.77,-2,0,-3,-2,-5,-4,2,0,-1,-2,0,0,0,0,0,0,-4,3,-4,-1,-0.44,3.41,-6.24,-3.27,9,-1,-2,8,6
25,25,25025010500,105,Census Tract 105,Boston,Census Tract 105- Suffolk County- Massachusetts,3044,40771,39122,47377,57254,680248,1086197,585855,581950,2034,1831,1767,1425,10,9,17,13,62,64,71,75,10,8,6,6,10,9,10,12,2,2,12,7,34.92,30.02,26.26,20.27,76.13,73.91,70.57,68.39,54,41,42,52,1649,-8255,-9877,-6606,-16483,-405949,500342,3905,94393,98298,203,64,342,267,609,0,-7,4,-7,-3,2.22,3.34,2.18,5.56,7.74,-2,-7,-4,-9,-13,1,2,1,3,4,2,-2,-2,0,-2,-1,-9,5,-10,-5,4.9,3.76,5.99,14.65,14,-2,-9,12,3
25,17,25017321200,3212,Census Tract 3212,Marlborough,Census Tract 3212- Middlesex County- Massachusetts,6267,64122,71672,67390,72785,287512,336612,223065,282983,1205,1076,1166,1223,58,63,64,60,77,87,89,92,13,7,3,4,1,1,2,2,7,2,6,3,5.86,6.77,7.54,5.16,34.93,34.66,28.79,30.05,41,43,40,35,-7550,4282,-5395,-3268,-8663,-49100,113547,-59918,64447,4529,129,-90,-57,39,-18,-5,-1,3,-6,-2,0.27,5.87,-1.26,6.14,4.87,-9,-2,-3,-11,-14,6,4,-1,10,9,0,0,0,-1,-1,5,-4,3,1,4,-0.9,-0.78,2.39,0.71,-2,3,5,2,6
25,17,25017383700,3837,Census Tract 3837,Framingham,Census Tract 3837- Middlesex County- Massachusetts,5213,74741,92870,92425,96174,335092,387120,269961,306345,1352,1365,1235,1342,84,82,75,74,91,78,87,91,5,14,3,3,0,1,3,2,0,9,7,4,3.11,2.89,1.93,2.61,42.66,46.42,40.98,39.44,54,76,27,41,-18129,445,-3749,-17684,-21433,-52028,117159,-36384,65131,28747,-13,130,-107,117,10,3,6,1,9,10,-3.76,5.44,1.55,1.68,3.23,14,-9,-5,5,0,-9,11,1,1,2,0,-3,1,-3,-2,-9,2,3,-7,-4,0.22,0.96,-0.68,0.5,-21,49,-14,27,13
25,17,25017383800,3838,Census Tract 3838,Framingham,Census Tract 3838- Middlesex County- Massachusetts,5360,84688,103541,88968.73,95891.71,315267,391682,273567.94,308649.84,1224,1225,1205.99,1290.98,87,85,84,83,82,82,89,93,8,4,3,2,2,1,2,1,1,0,6,3,2.29,0.6,4.78,3.25,51.61,45.06,44.84,43.21,37,21,36,34,-18853,14572.27,-6922.98,-4280.73,-11203.71,-76415,118114.06,-35081.91,41699.06,6617.16,-1,19.01,-84.98,18.01,-66.98,2,1,1,3,4,6.55,0.22,1.62,6.77,8.39,0,-6,-4,-7,-11,5,0,1,5,6,1,-1,0,0,0,0,-6,3,-6,-3,1.69,-4.19,1.53,-0.96,15,-15,2,1,2
25,25,25025140201,1402.01,Census Tract 1402.01,Boston,Census Tract 1402.01- Suffolk County- Massachusetts,2072,76976,58655,61099.08,66753.45,279887,375824,258823.14,270160.34,1194,1272,1020.01,1112.01,43,52,44,54,47,47,74,94,30,18,8,2,18,29,14,4,7,11,4,1,8.57,6.57,8.36,7.37,31.8,26.18,19.25,22.26,36,41,34,39,18321,-2444.08,-5654.37,15876.92,10222.55,-95937,117000.86,-11337.2,21063.86,9726.66,-78,251.99,-92,173.99,81.99,-9,8,-10,-1,-10,5.62,6.93,-3.01,12.55,9.54,0,-27,-20,-27,-47,12,10,6,22,28,-11,15,11,4,14,-4,7,3,3,6,2,-1.79,0.99,1.2,-5,7,-5,3,-3
25,25,25025082100,821,Census Tract 821,Boston,Census Tract 821- Suffolk County- Massachusetts,5025,16599,22484,26396,29701,279582,516486,289627,329356,436,486,611,643,11,13,11,10,2,1,1,1,36,32,22,14,60,64,71,84,22,17,5,1,45.62,37.45,32.72,31.38,16.01,16.05,6.96,9.18,47,57,36,44,-5885,-3912,-3305,-9797,-13102,-236904,226859,-39729,-10045,-49774,-50,-125,-32,-175,-207,-3,3,0,0,0,-0.04,9.08,-2.22,9.04,6.82,0,0,0,0,1,4,10,8,13,22,-5,-7,-13,-11,-25,4,12,5,16,21,8.17,4.73,1.34,14.24,-10,21,-8,11,3
25,25,25025070900,709,Census Tract 709,Boston,Census Tract 709- Suffolk County- Massachusetts,3329,71000,44929,56809,52592,607354,544836,448193,401551,1520,587,902,1033,33,35,26,17,48,49,43,36,20,21,19,13,19,21,32,48,10,12,6,3,20.81,30,26.88,20.11,65.39,49.07,50,42.71,45,48,39,34,26071,-11880,4217,14191,18408,62518,96643,46642,159161,205803,933,-315,-131,618,487,-1,9,9,8,16,16.32,-0.93,7.29,15.39,22.69,0,6,7,5,13,-1,3,5,2,7,-2,-11,-15,-13,-28,-2,5,3,3,6,-9.19,3.12,6.76,0.69,-3,9,5,6,11
